Month,tmax,tmin,af,rain,sun
8,21,12.5,0,34,158.2
9,18.6,10.9,0,25.4,132.3
10,14,6.7,1,138.8,109.5
11,9,4.3,2,58.2,43.9
12,8,3.7,7,26,42.9
1,8.1,3.3,4,100,47.7
2,8.1,2.3,5,33.8,103.7
3,10.2,3.8,4,59.1,85.2
4,12.6,4.6,3,30.2,132
5,17.1,7.8,0,32,178.1
6,18.7,10.3,0,59.6,142.3
7,18.9,11.6,0,96.5,138.8
8,20.4,11.9,0,38.8,178.8
9,17.9,10.4,0,39.6,136.9
10,14.5,8,2,38.6,120
11,9.1,1.6,15,29.5,91.4
12,10.1,5.4,0,13.4,46.7
1,9.1,3.6,5,33.4,68.2
2,9.9,3,4,55.1,107
3,12,4.6,1,47,100.9
4,11,3.6,1,63.8,133.9
5,19.7,8.6,0,29.2,300.8
6,20.8,10.5,0,45.9,244.4
7,24.9,14,0,29.4,280.4
8,23.4,12.4,0,43.3,269.5
9,19.9,11.9,0,23.8,141.6
10,15.9,8.9,0,53.9,90.8
11,9.8,3.2,7,32.5,104.1
12,8.2,3.3,4,141.5,26.5
1,10,4.5,1,75,58.3
2,11.3,5.3,0,94.2,95.7
3,12.7,5,2,18.4,144.1
4,13.7,3.3,5,20.4,234.4
5,19.2,7.8,0,8.7,285
6,18.2,10.7,0,48.8,121.1
7,23.8,12.2,0,17.7,268.5
8,24.7,14,0,26.5,236.6
9,18.7,9.4,0,41.1,164.7
10,15.8,9.3,0,45.9,124.4
11,9.8,4.3,1,20,83.7
12,6.9,1.7,10,56.3,58.8
1,6.4,1.2,8,60.9,66.9
2,4.7,-1.6,18,20.5,60
3,11.5,5.1,2,46.1,87.2
4,12.2,4.6,1,56.3,156.6
5,15.3,7.4,0,8.6,142.9
6,16.8,9,0,74.8,150
7,22.2,13.7,0,92.8,217.3
8,23.2,13.3,0,11.6,241.4
9,20.2,10.6,0,42.9,165.4
10,13.4,7.3,0,34.2,79.4
11,9.9,4.5,2,62.2,57.4
12,7,1.6,11,15.9,58.4
1,5.9,1.5,12,30.4,46.8
2,8.9,2.1,8,22,67.3
3,11,4.8,1,47.7,73.3
4,13.2,5.6,2,57.7,139.2
5,19.7,9.1,0,62.2,262.7
6,21.4,11.7,0,43.4,212.2
7,21.1,13.5,0,70.1,164
8,20.3,12.8,0,108.9,173.6
9,17.6,10.8,0,106.9,120.2
10,11.2,5.2,2,75.7,101.3
11,10.9,4.7,0,119.9,61.5
12,6.4,1.3,11,50.7,47.2
1,9.6,3.5,5,82.4,38
2,7.1,2.4,4,7.1,54.7
3,11,3.9,3,32.7,135
4,13.2,6.6,0,69.2,111.9
5,16.6,8,0,56.6,196.7
6,20.7,11.5,0,40.1,231.4
7,20.8,12.3,0,51.3,190
8,20.5,11.1,0,26.7,238.3
9,16.7,9.3,0,96.1,107.7
10,11.9,6,3,112.4,120
11,8,2.6,8,51,76.3
12,8.7,3.4,4,98,55
1,8.5,3.3,2,82.2,87
2,6.7,1.3,8,62.4,77.6
3,11.7,5.3,0,41.9,127.6
4,12.5,5.1,0,52,177.7
5,15.3,7.6,0,84.5,162.1
6,20.6,11,0,13.5,254.9
7,24.8,13.8,0,54.2,248.3
8,21.1,13,0,52.5,191.8
9,16.6,10.4,0,62.6,113.1
10,14.1,6.9,0,67.4,137.5
11,12.7,8.4,0,55.7,46.7
12,9.6,3.9,5,74.6,68.2
1,8.5,2.2,7,116.3,61.8
2,10.4,4.4,1,66,74.9
3,10.5,2,6,49.3,198.7
4,14.3,5.4,3,18.9,190.1
5,17.8,7.8,0,54.1,233.5
6,20,10.4,0,6.6,194.4
7,25.1,13.9,0,37.8,247.6
8,26.4,13.9,0,4.4,285.1
9,18.3,10.3,0,98.8,135.3
10,17.3,10.3,0,33.2,139.9
11,11.3,5.2,5,98.2,78.1
12,4.6,0.2,15,99.8,40.9
1,6.6,3.1,7,35.5,29.3
2,6.2,-0.1,17,60.8,103.4
3,8.4,1.8,9,27.1,76.4
4,13.8,4.8,5,49.3,148.3
5,14.1,5.6,1,35.7,185.7
6,21.2,10.2,0,23.7,290.7
7,23.3,12.7,0,25.5,256.6
8,22.4,12.5,0,53.1,211.6
9,18.4,10.3,0,16.1,125.3
10,15.8,8.6,0,33,130.8
11,9.6,2.9,10,81.6,101
12,5.5,0.9,13,16.2,55.5
1,5.1,-0.2,16,11.9,51.4
2,10.4,4.2,3,76.5,64.2
3,13.3,5.5,0,7.2,150.2
4,14.5,4.9,2,17.5,189.9
5,17.4,7.4,1,61.2,261.4
6,18.9,11.3,0,66.7,137.1
7,22.8,12.9,0,25.4,231.7
8,24.9,15.7,0,104.2,172
9,19.7,10.7,0,18.5,169.7
10,14.9,6.6,6,57.2,153.8
11,11.7,6.1,1,94.6,47.1
12,9,3.6,6,58.7,55.7
1,8.3,2.9,9,60,64
2,11.5,4.1,4,8.7,113
3,11.8,5.4,1,57.4,77.5
4,11.9,5.1,1,107.7,105.8
5,18.7,9.1,0,20.9,199.8
6,19.1,11.5,0,75.9,114
7,21,12.4,0,29.5,157
8,22.4,11.9,0,26.8,225
9,19.6,11.8,0,119.4,133.8
10,14.4,8.2,0,116.4,94.5
11,9.3,2.2,7,69.9,66.3
12,9.4,3.2,8,72.7,38.1
1,9,3.4,4,91.9,51.1
2,8.6,2.9,5,32.9,81.3
3,11.6,4.8,1,28.8,97.4
4,14.3,6.1,2,57.6,147.6
5,18.2,9.7,0,50.9,153.6
6,19.7,10.1,0,65.3,202.1
7,24.2,13.3,0,7.2,235.4
8,21.6,12.9,0,98.3,159.2
9,20.8,12.4,0,102.1,155.2
10,15.1,7.1,0,70.8,144.8
11,10.8,5.3,0,41.1,81.1
12,8.3,1.7,9,89.8,60.9
1,8.1,2,9,19.8,82.1
2,10.2,3.8,3,78.3,104.9
3,11.7,4.2,2,11.9,112.6
4,12.4,4.8,2,137.2,143.4
5,17.2,8.6,0,67.7,189.8
6,20.5,12.2,0,19.4,164.6
7,20.8,12.3,0,28.5,161.2
8,22.7,13.3,0,58.3,209.4
9,19.2,12.1,0,87.2,126.1
10,14.3,8.2,0,119.5,83.9
11,10.6,4.8,0,99.1,69.2
12,8.6,4.2,7,99.8,51.9
1,6.4,1.2,13,57.4,83.3
2,8.8,2,10,68.6,85
3,9,3.1,5,75.1,74.1
4,12.9,4.8,0,72.7,148.2
5,18.5,7.9,0,35.5,198.3
6,20.7,10.6,0,23.1,226.8
7,23.4,13.4,0,57.2,206.1
8,22.7,12.9,0,92,184.1
9,17.9,10.5,0,35,123
10,17,11.1,0,92.4,100.9
11,11.2,3.9,5,38.5,86.9
12,6.8,0.2,17,29.5,79.2
1,9.2,3.4,5,57.4,44.4
2,11.1,4.4,3,70.9,80.5
3,12.4,4.6,3,33,101.1
4,15.2,5.2,0,43,210
5,16.8,8.4,0,58.3,177.5
6,20,10.3,0,42.4,163.3
7,22.1,12,0,89.6,178.8
8,22.8,12.9,0,53.2,166.2
9,19.7,10,0,24.8,167.1
10,14.8,7.1,1,109.4,104.8
11,11.8,6.4,0,133.4,52.3
12,8.9,4.1,4,98.1,41.3
1,7.6,1.8,11,81.4,87.7
2,8.4,0.6,15,17.3,94.4
3,13.3,2.7,8,25.2,154.8
4,15.3,4.6,5,36.8,169.8
5,17.5,8.1,0,48.1,191.2
6,22.4,11.8,0,55.5,213.6
7,23.7,13.4,0,53.8,192
8,25.5,13.5,0,3,228.4
9,21.3,8.1,0,17.4,175.3
10,14,3.9,5,31.7,134.8
11,12,5.7,1,89.6,78.9
12,8.7,1.8,10,70.7,53.6
1,8.8,2.7,9,66.1,62.7
2,8.7,2.9,11,25.5,79.1
3,10.9,3.4,2,51.8,101.5
4,14.7,6.2,0,68.8,150.3
5,18,8.6,0,41.1,195.5
6,21.8,12,0,23.8,223.6
7,22,12.2,0,83.1,169.5
8,23.4,14.2,0,135,194.1
9,20.1,11.7,0,28.9,174.4
10,14.7,8.6,0,131.4,102.4
11,10.9,5.8,1,34.2,52.4
12,8.6,2.8,6,37.7,58.3
1,9.4,3.8,2,18.2,65.4
2,7.3,2.1,10,20,66.3
3,11.2,4.7,6,44.5,79.3
4,14.3,5.7,1,50.2,136.3
5,17.2,7.6,0,31.5,226.4
6,21.6,12,0,93.4,177.6
7,22.3,13.4,0,34.9,192
8,23.1,12.2,0,31.3,235.7
9,20.9,11.9,0,38.5,155.4
10,17.1,10.9,0,53.4,92
11,9.9,3.1,11,38.6,88
12,7.7,1.8,11,50.2,55.7
1,7.2,2.2,8,16.6,54.9
2,6.6,0.8,12,33,73.1
3,9.2,2,10,59.3,95.5
4,13.9,5.4,2,36.3,152.5
5,17.6,9,0,104.7,165.7
6,23.1,11.7,0,5.3,246.2
7,27.1,14.9,0,87.3,303.7
8,21.8,13.1,0,58.7,167.2
9,22.1,13.5,0,90.8,156.5
10,17.2,10.6,0,118,109
11,12.1,5.1,4,86.4,101.2
12,9.4,4.3,6,68.7,42.7
1,10.4,4.8,4,73.3,79.8
2,9.7,3.7,7,81,67.6
3,12,3.7,2,36.9,165.4
4,17.8,5.6,0,1.8,210.7
5,17.5,7.1,0,135.2,165.5
6,20.5,11.3,0,78.8,149
7,20.6,12.2,0,105.5,195.1
8,21.7,12,0,38.2,209.2
9,19.2,10.3,0,17.7,142.6
10,15.1,7.9,0,68.9,102.5
11,11.3,4.3,4,56,86.9
12,8.3,2.4,11,60.6,57.2
1,10.3,4.7,0,81.6,62.4
2,10.5,1.7,11,16.9,124.1
3,10.6,3.5,2,90.3,115.2
4,13.1,4.7,3,46.9,161.2
5,18.7,9.5,0,106.6,173.2
6,20.1,11.1,0,67.3,223.8
7,22,12.8,0,90,198.5
8,20.8,13.9,0,77,141.8
9,17.8,10.2,0,73.5,113.5
10,14.6,5.7,1,39.3,132.2
11,10.1,4.8,3,94.2,67
12,6.9,1.3,11,37.3,73.5
1,6.3,0.2,16,47.8,69.3
2,7.9,2,10,54.5,64.5
3,12.4,3.2,3,20.2,161.4
4,15.6,6.1,0,36,168.4
5,18.2,8.3,0,44.8,226.1
6,22,10.7,0,49.3,203.3
7,22.4,13.1,0,72.8,212.3
8,22.7,13.3,0,46.6,190.6
9,20.2,10.6,0,9,163.7
10,16.2,8.4,0,44.4,109.7
11,12.5,7,0,105.2,73.5
12,6.8,0.8,12,89.9,61.5
1,4.7,-1,17,56.4,68.2
2,7.1,1.3,7,79.8,59.3
3,11.3,3.2,8,47.6,130.2
4,15.8,4.9,0,25.5,209.5
5,17.6,7.3,0,28.6,207.4
6,23,11.1,0,34.5,230.5
7,23.9,14.2,0,17.9,181
8,21.4,12.1,0,146.2,141.7
9,18.8,10.3,0,52.5,123.1
10,14.5,7.4,2,43.4,123.5
11,8.2,2.9,10,38.6,53.6
12,2.7,-2.2,25,32.7,25.8
1,7,1.9,12,58.8,49.3
2,10.4,4.4,1,49.3,34.2
3,12.4,3.2,5,9.3,141.5
4,19.4,7.3,0,0.5,211.4
5,18.9,8.4,0,42.5,208.7
6,19.3,10.2,0,54.1,188.5
7,21.4,10.2,0,43.1,179.4
8,20.7,11.4,0,65.6,157.8
9,20.7,10.7,0,31.8,151.7
10,17.2,9.5,0,26.3,130.6
11,13.5,6.3,1,28.4,64.8
12,9.3,3.1,4,71.2,62.6
1,9.8,3.6,6,34.6,85.7
2,7.3,1.2,12,21.3,71.7
3,14,3.6,2,24.3,164.3
4,12.6,4.6,2,143,135.1
5,17.7,9.7,0,55.5,185.6
6,18.9,11.6,0,151.7,128.3
7,20.5,12.6,0,100,178.2
8,21.8,13.6,0,85.6,168.4
9,18.4,9.2,0,57.6,173.2
10,13.4,7.1,0,124.2,85.5
11,10.1,4.2,1,83.3,74
12,8.6,2.6,9,103.3,61.7
1,6.4,1.9,14,58.5,47.8
2,6.2,0.9,5,47.4,72.3
3,6.3,0.2,16,76.6,60.7
4,12.9,3.9,6,24.8,177
5,15.9,6.7,0,66.2,193.6
6,19.3,10.2,0,17.3,181.3
7,25.5,13.9,0,45.7,297.3
8,23.1,13.1,0,19.3,205.9
9,19,9.9,0,40.6,123.1
10,16.3,9.9,0,86.5,101.8
11,9.9,3.8,2,55.2,85.7
12,10,3.6,0,97.7,63.6
1,9.3,3.5,3,146.9,77.7
2,9.7,4.2,0,90.1,97.4
3,12.8,3.5,2,39.2,135.6
4,15,6.4,0,50.2,149.5
5,17.1,8.9,0,90.3,185.7
6,21.5,11.8,0,36.9,236.3
7,24.9,13.5,0,45.5,264.6
8,20.8,11.7,0,85.6,190.5
9,21.1,11.4,0,4.1,143.7
10,16.8,9.9,0,65.6,116.9
11,11.5,5.7,2,98.6,60.9
12,8.7,2.4,9,44,96.9
1,8.4,1.6,10,53.6,81
2,7.5,1,10,46.2,80.8
3,11.4,3.3,1,25.6,122.9
4,15.9,4.5,0,22.5,214.1
5,16.8,7.7,0,55.6,183.3
6,21.1,10.2,0,28.9,242.9
7,22.6,12.5,0,47.8,201
8,21.3,13,0,57.2,135.3
9,18.4,8.9,0,36.8,164.3
10,15.1,7.9,0,45,84.1
11,13.1,7.3,2,65.3,33.8
12,13.4,8.3,0,62.9,38.3
1,9.4,3,5,83.9,59.1
2,9.1,2.7,6,47.6,112.9
3,10.2,2.2,4,74.2,123.8
4,12.9,4,1,53.1,163.7
5,18.4,8.7,0,86.1,202.9
6,20,11.9,0,95.7,100.4
7,23.3,13.8,0,3.4,227.6
8,23.5,13.6,0,41.2,204.5
9,20.9,13,0,44.6,113.2
10,15.1,7.3,0,26.5,112.2
11,9.4,3.3,3,76.1,88.3
12,9.6,3,10,25.8,62.3
1,7.3,0.8,16,62.8,64.6
2,9.5,4,1,42.8,58.4
3,13.7,5.8,0,43.1,115.6
4,15.1,4.7,0,5.4,174.6
5,19,9.4,0,63.6,169.4
6,22.7,12.9,0,29.7,213.3
7,23.3,13.9,0,62.3,179.2
8,21.4,12.6,0,62.8,176.1
9,18.5,10.4,0,64.6,119.4
10,16.1,9.7,0,17.1,97.7
11,10.7,3.8,3,48.4,99.6
12,8.3,2.6,10,74.2,55.5
1,8.9,3,4,59.1,67.7
2,6.4,0.3,14,24.1,117.6
3,9.1,2.5,6,87.4,79
4,14.2,7.5,0,52.8,121.5
5,19.9,8.6,0,80.8,234.1
6,22.8,11.6,0,2.5,252.2
7,27.4,14.2,0,23.2,280.9
8,23.4,13.2,0,43.2,198.6
9,20.4,10,0,30.3,169.8
10,15.6,7.3,2,50.1,117.3
11,11.7,5.5,2,61.9,82.7
12,10.2,4.7,3,71.8,53.8
1,7.2,1,16,28.6,50
2,11.8,2.3,8,36,127.8
3,12.7,5.1,0,37.7,128.3
4,15.1,4.3,5,21.7,158.2
5,18,7.2,0,21.3,203.6
6,20.4,10.7,0,99.5,165.4
7,24.5,13.7,0,42.9,212.4
8,23.9,13.2,0,46.9,215.4
9,20.6,10.4,0,77.9,176.5
10,14.5,7.3,0,119.9,83.7
11,9.6,4.1,3,105.6,55.3
12,9.4,3.6,5,88.1,72.7
1,9.6,4.5,3,50,71.5
2,10.5,3.6,3,94.6,88.8
3,11.4,3,4,39.9,158.7
4,17.8,5.4,1,42.9,232.2
5,20.4,7.6,1,3.5,322.8
6,21.6,11.6,0,67.1,206.1
7,22.5,12.7,0,55.2,201.7
8,23.5,14.5,0,113.7,172.1
9,20,10.2,0,26.6,174.7
10,14.2,8.3,0,185.3,72.4
11,11.9,6,5,35.4,62.4
12,8,3.1,7,99.4,60.7
1,6.7,1.3,13,114.1,41.6
2,8.8,2.6,8,55.2,66
3,11.3,4.1,1,29.5,104.1
4,12.5,1.6,8,27.1,205.7
5,15.5,6.6,0,94.5,150.5
6,21.3,12.7,0,67.3,179.8
7,23.8,14.3,0,67,203.1
8,21.1,13.1,0,34.8,114
9,21.8,12.1,0,42.1,148.5
10,16.2,9.7,0,88.6,96
11,10.9,4.3,3,15.9,70.7
12,9.6,5.2,2,41.4,29.5
1,8.5,1.6,13,19.1,74.4
2,11.1,4.1,0,58.5,99.1
1,4,-2,25,40.9,54.1
2,6.6,2.1,10,41.8,17.8
3,10.6,4.2,0,50.9,85.7
4,13,5.2,0,76.3,125.1
5,18.1,7.9,0,24,222
6,18.1,10.3,0,81.6,187.3
7,19.6,12.3,0,113.7,157.3
8,20.3,12.6,0,14.7,165.2
9,18.3,9.7,0,26.5,137.5
10,15.2,8.7,0,140.7,105.5
11,9.3,4.9,2,129.7,37.4
12,7.4,2.9,3,199.8,13.5
1,6.1,0.8,11,101.1,43.5
2,5.8,0,16,107.2,84.4
3,8.9,3.5,1,57,77.8
4,14,6,0,107.7,154.1
5,17.8,8.2,0,66.6,189.5
6,21,11.3,0,63.9,244.2
7,18.8,11.5,0,90.5,148.8
8,19.4,11,0,86.5,180.2
9,16.7,8.7,0,79,152.1
10,12.6,7.7,0,78.7,54.9
11,8.9,3.5,3,145.6,62.6
12,5.6,0.8,12,142.7,29.1
1,5.9,0.3,12,100.1,35.5
2,9,4.4,1,127.6,52.6
3,11.6,5.7,0,60.8,95.4
4,12.4,5.8,2,95.7,96.5
5,15.9,7.3,0,52.3,185.3
6,17.3,9.7,0,37,153.5
7,18.1,10.4,0,69.3,150.3
8,18.4,11.2,0,146.2,160.4
9,17.4,10.7,0,155.2,108.4
10,13.5,7.5,0,149.9,103.3
11,8.1,2.9,7,113.8,48.6
12,4.2,-0.5,17,121.5,19.1
1,6.7,1.6,6,220.1,37.4
2,7.2,2.4,2,103.6,64.2
3,7.5,0,14,38.4,104.7
4,12.8,3.2,4,72.4,197.1
5,15.8,7,2,62.4,198.8
6,18.3,8.5,0,53.2,192.8
7,17.9,9.9,0,76.7,137.8
8,17.2,10.1,0,136.5,142
9,14.8,9.1,0,181.8,74.1
10,13.3,8.2,0,60.5,83.3
11,7.8,3.2,7,68.3,27
12,5.9,0.5,12,114,34.4
1,2.5,-2.7,22,18.1,46.9
2,3.9,-2.9,22,13.2,70.5
3,9.8,2.8,6,153,85.7
4,11.6,4.8,1,61.5,110.6
5,14,6.4,0,95.7,193.5
6,18.5,10.8,0,62,172.9
7,18,10.7,0,80.2,151.2
8,17.1,10.7,0,86.5,88.1
9,15.8,9.2,0,90,128.4
10,13.2,7.5,0,127.1,76.8
11,8.5,3.7,6,191.6,34.9
12,5.8,1.3,12,50.9,25.8
1,6.8,2.5,7,61.9,21.8
2,7.2,2.3,5,30.4,59.7
3,7.4,2.2,3,55.4,57.7
4,12.1,5.4,0,77.3,101.3
5,16,8.7,0,85.8,167.7
6,17.5,9.6,0,68,163.5
7,17.9,11.5,0,58,126.7
8,17.6,10.9,0,146.3,121.9
9,16.4,9.4,0,131.5,132.9
10,11.8,5.7,0,67.4,74
11,8.8,3.8,3,95.6,31.3
12,6,1.2,7,154.3,34.8
1,5.1,0.6,13,127.2,54.2
2,6.7,0.4,11,24,61.7
3,8,1.2,9,68.5,99.5
4,12,4.3,1,74.8,145.9
5,14.8,7.6,0,86.3,134.5
6,17.9,10.4,0,102.6,160.2
7,16.8,9.6,0,98.2,147.3
8,17.5,10,0,107.7,136.6
9,15,9.2,0,144.2,70.5
10,12.2,7.1,0,126.2,53.3
11,6.2,1.4,13,55,68.5
12,5.7,1.3,7,138.9,47.1
1,4.7,1.1,12,71.9,22.8
2,5.7,1.6,8,131.2,24.5
3,9.9,4.2,1,92.9,128.6
4,8.3,3.1,5,79.6,105.1
5,15,6.7,0,87.9,208.2
6,17.4,11.2,0,111.7,82
7,18.5,10.9,0,33.6,195.3
8,17.6,10.1,0,104.8,144.7
9,16,10.7,0,115.7,94.7
10,12,5.6,1,82.6,81.7
11,7.5,2.3,6,99.9,58.9
12,6.2,2.1,6,174.5,32.1
1,6.3,2.6,10,90.9,51.4
2,7.5,3.1,4,132.3,64.7
3,9.1,3.7,1,138.6,108.1
4,11.9,4.3,1,47.4,156
5,13.2,6.3,0,121.2,129.7
6,18.4,9.7,0,38.3,219
7,17.5,11.2,0,77.6,124.5
8,18.4,11.3,0,69.1,147.8
9,16.5,9.8,0,108.7,101.1
10,11.9,6.7,0,256.9,111.8
11,8.3,3.3,0,82,46.7
12,7.1,2.6,11,59,64.6
1,6.5,2.2,10,89.3,38.8
2,4.2,-0.8,16,69.3,56.6
3,9.3,3,1,126.4,103.9
4,12.3,4.1,4,53.7,157.1
5,13.3,5.5,0,123.8,137
6,19.3,10.1,0,27.6,202.2
7,18.2,11,0,82.4,98.7
8,19.1,11.2,0,69.6,156.4
9,16,9.6,0,140.4,87.4
10,13.5,8.9,0,161.9,64
11,7.9,3.1,7,92.8,33.3
12,5.8,1,13,46.4,22.1
1,6.8,2.8,4,103,25
2,4.1,-1.1,15,41.5,55.8
3,6,0,14,20,68.7
4,11.8,3.1,2,39.5,150.7
5,14.2,6.6,0,112.3,121.3
6,18.6,9.6,0,70.9,199.7
7,19.5,11.8,0,54.1,161.2
8,20.1,12.3,0,57.6,169.6
9,16.2,10,0,72.9,108.8
10,14.9,9.7,0,61.8,71.2
11,6.6,0.9,13,146,44.3
12,5.7,1,11,102.5,26.4
1,5.5,0.9,9,100.1,23.6
2,5.7,-0.9,15,114.2,109.4
3,8.5,1.2,9,48.4,135.1
4,10.8,2.7,5,83.9,123.9
5,15.5,8.2,0,37.8,110.9
6,20.1,11.1,0,56.3,188.2
7,17.1,10.2,0,69.3,108.5
8,19.6,11.7,0,89.7,142.7
9,15.8,9.8,0,129.2,80
10,12.3,6.9,0,151.5,76.7
11,8.6,4,1,166.3,37.6
12,7,2.6,6,65.5,39.1
1,6.6,2.6,8,100.1,22.7
2,7.7,3.3,4,105.8,44.3
3,9.3,2.5,6,39.9,78.2
4,12.4,4.2,0,38,132.7
5,15.4,7.4,0,48.9,198.1
6,16.1,8.7,0,31.1,164.1
7,19.8,11.6,0,94.1,194.8
8,17.9,11.6,0,98.5,97.8
9,17.8,10.2,0,24.7,125.5
10,14,7.7,2,137.3,84.5
11,9.1,3.7,6,78.6,48.2
12,9.6,5.6,1,90.5,14.5
1,6.1,2.3,5,105.9,25.2
2,6.8,2.1,3,56.1,35.3
3,9.2,2.7,1,47.5,80.3
4,12.9,5.2,0,122.1,138.2
5,14.6,7.4,0,122.2,113.1
6,15.5,8.1,0,103.1,170.8
7,19.7,11.5,0,45.9,175.9
8,18.3,10.6,0,48.6,155.4
9,16.5,7.8,0,11.4,140.8
10,14,6.8,0,32.9,82
11,8.4,2.6,8,134.3,55.7
12,8.1,3.1,4,128.1,16.1
1,6.6,3,4,111.3,14.9
2,6.9,1.3,11,80.2,69.6
3,10.3,3.4,4,53.2,110.8
4,11.7,3.2,4,65.5,160.9
5,14.2,6.6,0,77.4,128.9
6,18.4,10,0,63.6,157.1
7,20,11.8,0,66.7,159.5
8,18.7,11.8,0,65.6,133.6
9,16.5,9.8,0,68.5,107.1
10,12.3,5.9,1,46,86
11,8.2,2.7,7,119.1,57.9
12,6.8,1.6,9,143.5,30.7
1,8.3,3.7,1,218.8,24.7
2,8,3.2,1,65,46.3
3,8.3,2.7,3,50.5,72.3
4,14.1,4.2,0,4.8,175.9
5,15.3,7.5,0,51,175
6,18.3,9.7,0,36.8,226.5
7,17.2,11.1,0,68.9,156.9
8,18.4,11.3,0,73.5,149.2
9,14.3,8.4,1,120,108.5
10,11.3,5,0,35,96.9
11,8.4,3.4,4,148.4,44.6
12,9.1,4.7,1,181.1,29.9
1,8.1,2.9,4,232.8,14.1
2,6.9,2.2,6,58.9,55.1
3,8.6,1.7,4,37.1,112.9
4,11.9,5.2,1,64.2,124.6
5,15,5.5,0,18.4,250.6
6,19.3,9.8,0,53.3,230.1
7,19.8,12.6,0,52.7,159.3
8,21.7,13.8,0,44,159.8
9,15.3,8.5,0,190.7,108.3
10,12.8,7.5,0,107.6,54.2
11,8.9,3.1,5,121.4,53.2
12,8.7,3.7,4,43.7,43.1
1,7.9,3.1,3,131.7,39.1
2,7.4,2.9,2,74.6,29.7
3,7.9,1.8,6,118,78.7
4,12.1,5.1,0,63.2,115.3
5,14.3,7.7,0,126.9,129.5
6,19,11.5,0,38.2,162.6
7,21.7,13.4,0,42.3,201
8,22.1,11.5,0,9,208.7
9,16,10.1,0,74.8,98.9
10,12.5,7.2,0,123.2,69.6
11,8.6,3.2,6,123.6,50.6
12,3.8,-0.7,14,81.3,51.3
1,4.8,-0.2,15,81.4,52.4
2,6,1,10,128.8,63.1
3,9.5,3.6,3,122.9,69.2
4,10.5,3.9,3,84.5,144.7
5,15.4,6.2,0,50,209.7
6,18.2,9.1,0,38.7,209.3
7,21.1,12.1,0,48.3,206.7
8,19,11.4,0,85.9,174.9
9,15.3,9.3,0,160.2,98.1
10,14,8.9,0,178.7,77.1
11,7.4,2.5,6,156.1,57.9
12,7.5,3.7,3,64.7,27.8
1,5.3,0.2,14,121.4,46.2
2,4.8,-0.9,15,77.5,73.5
3,9.2,3.4,1,149.2,89.5
4,9.8,3.7,3,31.1,86.7
5,17.2,7.8,0,7,201.8
6,18.3,9.8,0,84.7,185.3
7,18.2,10.7,0,72.2,171.7
8,17.6,11.7,0,106.4,87.7
9,15.8,10.7,0,165.8,78.7
10,14.1,9.2,0,47,83.4
11,10.4,5.5,3,200,44.2
12,5.4,1.5,8,99.6,15.9
1,3.3,-2.6,24,96.7,44.9
2,4.3,-1.2,16,14.9,72.6
3,6.9,0.9,9,157.3,96.5
4,10.7,3.8,2,64.8,123.6
5,13.4,5.3,0,43,183.5
6,17.9,10.4,0,77.1,175.1
7,17.8,11.5,0,39.7,107.9
8,17.8,10.4,0,134.2,147.4
9,15.6,9.1,0,77.6,133.6
10,13.2,7.7,0,150,56
11,8.7,3,7,205.4,34.1
12,6.7,2.1,9,177.4,38.3
1,4.4,-0.1,12,69.8,31.5
2,7,2.8,4,73.3,20.8
3,7.3,1.7,8,74.4,80.3
4,13.8,5.3,0,7.9,177.3
5,17.6,6.8,0,22,250.7
6,16.9,9.9,0,74.6,120
7,17.8,10.6,0,112.3,113.9
8,18,11.3,0,129.6,102.7
9,16.3,10.8,0,129,75.9
10,11,5.4,1,137.3,84.2
11,8.8,3.8,6,142.9,45
12,8.1,2.9,5,185.3,24.4
1,7.3,1.8,12,89.2,35.1
2,6.5,0.7,14,90.4,75
3,9.6,3.2,3,150.2,75.5
4,12.9,4.2,2,13.8,191.2
5,15.5,7.5,0,125.9,124.4
6,16.8,9.8,0,78.1,141.4
7,18.1,11.5,0,82.6,144.6
8,19.3,11.9,0,16.4,166.3
9,16.8,10.1,0,246.8,107.1
10,10.5,3.5,4,164.9,100.7
11,10.1,4.6,0,148,43.7
12,2.2,-3.5,21,30.2,29.7
1,5.1,-0.3,10,118,30.8
2,8,2.8,4,96.4,52.7
3,9.7,2.3,2,153.2,113.5
4,13.4,5.3,0,32.6,158.4
5,15.9,6.5,1,81.9,197.2
6,17.9,10.7,0,68.5,133.9
7,21.3,12.4,0,15.7,189.2
8,18.1,11.9,0,125.8,126.4
9,15.8,9.6,0,160.9,104.6
10,12.9,7.3,0,152.6,62.6
11,9.3,3.9,4,183.5,33.4
12,6.7,1.3,12,153.6,32.1
1,8.3,3.3,1,205.4,24.8
2,5.2,-0.4,15,47.5,60.5
3,9.1,3.9,2,99.5,60.4
4,10.5,2.9,4,37.4,120.5
5,13.5,7,0,107.5,90.2
6,17.1,9.7,0,57.6,147.7
7,21.9,13.3,0,28,172.3
8,21.4,12.6,0,34.1,173.8
9,15.2,9.2,0,153.2,79.2
10,12.3,6.8,2,236.2,58.3
11,10.1,4.8,6,19.1,48
12,8.8,3.6,3,148.1,28.4
1,4.8,-0.3,12,192.7,31.5
2,6.6,2.2,5,87.2,47.8
3,8.2,2.8,3,53,60
4,13.7,4.5,2,19.4,167
5,16.8,6.8,0,17.4,219.4
6,18.3,10.8,0,36.5,144.6
7,22.1,12.2,0,12.4,219.2
8,21.5,12.6,0,29,165.3
9,15.4,9.4,0,129.7,85
