date,areaType,areaCode,areaName,newCasesByPublishDate,newDeaths28DaysByPublishDate
27/09/2020,utla,E06000007,Warrington,40,1
09/11/2020,utla,E10000018,Leicestershire,420,2
26/09/2020,utla,E06000007,Warrington,73,0
25/09/2020,utla,E06000007,Warrington,57,0
08/11/2020,utla,E10000018,Leicestershire,311,1
07/11/2020,utla,E10000018,Leicestershire,330,8
24/09/2020,utla,E06000007,Warrington,59,0
23/09/2020,utla,E06000007,Warrington,70,0
06/11/2020,utla,E10000018,Leicestershire,298,2
06/02/2021,utla,E06000051,Shropshire,118,5
05/02/2021,utla,E06000051,Shropshire,89,4
05/11/2020,utla,E10000018,Leicestershire,280,2
04/11/2020,utla,E10000018,Leicestershire,252,2
04/02/2021,utla,E06000051,Shropshire,105,1
03/02/2021,utla,E06000051,Shropshire,97,4
02/02/2021,utla,E06000051,Shropshire,71,8
22/09/2020,utla,E06000007,Warrington,52,1
21/09/2020,utla,E06000007,Warrington,34,1
03/11/2020,utla,E10000018,Leicestershire,223,2
20/09/2020,utla,E06000007,Warrington,19,0
02/11/2020,utla,E10000018,Leicestershire,216,1
01/11/2020,utla,E10000018,Leicestershire,319,0
31/10/2020,utla,E10000018,Leicestershire,244,1
30/10/2020,utla,E10000018,Leicestershire,276,4
29/10/2020,utla,E10000018,Leicestershire,343,3
28/10/2020,utla,E10000018,Leicestershire,254,2
27/10/2020,utla,E10000018,Leicestershire,309,4
01/02/2021,utla,E06000051,Shropshire,73,0
31/01/2021,utla,E06000051,Shropshire,111,5
30/01/2021,utla,E06000051,Shropshire,108,9
29/01/2021,utla,E06000051,Shropshire,111,5
26/10/2020,utla,E10000018,Leicestershire,305,0
28/01/2021,utla,E06000051,Shropshire,118,8
25/10/2020,utla,E10000018,Leicestershire,264,2
27/01/2021,utla,E06000051,Shropshire,120,4
24/10/2020,utla,E10000018,Leicestershire,331,0
23/10/2020,utla,E10000018,Leicestershire,272,5
22/10/2020,utla,E10000018,Leicestershire,223,0
26/01/2021,utla,E06000051,Shropshire,77,8
21/10/2020,utla,E10000018,Leicestershire,291,2
25/01/2021,utla,E06000051,Shropshire,57,4
20/10/2020,utla,E10000018,Leicestershire,291,1
19/10/2020,utla,E10000018,Leicestershire,217,2
18/10/2020,utla,E10000018,Leicestershire,218,0
17/10/2020,utla,E10000018,Leicestershire,140,1
16/10/2020,utla,E10000018,Leicestershire,72,3
19/09/2020,utla,E06000007,Warrington,36,0
15/10/2020,utla,E10000018,Leicestershire,231,0
18/09/2020,utla,E06000007,Warrington,42,0
14/10/2020,utla,E10000018,Leicestershire,222,0
13/10/2020,utla,E10000018,Leicestershire,178,0
12/10/2020,utla,E10000018,Leicestershire,166,0
17/09/2020,utla,E06000007,Warrington,38,0
11/10/2020,utla,E10000018,Leicestershire,151,1
10/10/2020,utla,E10000018,Leicestershire,147,0
16/09/2020,utla,E06000007,Warrington,38,1
09/10/2020,utla,E10000018,Leicestershire,181,2
15/09/2020,utla,E06000007,Warrington,31,0
14/09/2020,utla,E06000007,Warrington,28,0
24/01/2021,utla,E06000051,Shropshire,92,5
23/01/2021,utla,E06000051,Shropshire,189,5
08/10/2020,utla,E10000018,Leicestershire,178,1
22/01/2021,utla,E06000051,Shropshire,128,5
21/01/2021,utla,E06000051,Shropshire,202,6
20/01/2021,utla,E06000051,Shropshire,180,6
19/01/2021,utla,E06000051,Shropshire,197,2
13/09/2020,utla,E06000007,Warrington,28,0
18/01/2021,utla,E06000051,Shropshire,148,0
07/10/2020,utla,E10000018,Leicestershire,79,0
17/01/2021,utla,E06000051,Shropshire,231,3
16/01/2021,utla,E06000051,Shropshire,210,3
15/01/2021,utla,E06000051,Shropshire,255,4
06/10/2020,utla,E10000018,Leicestershire,90,0
12/09/2020,utla,E06000007,Warrington,44,0
05/10/2020,utla,E10000018,Leicestershire,81,0
14/01/2021,utla,E06000051,Shropshire,177,3
11/09/2020,utla,E06000007,Warrington,45,0
04/10/2020,utla,E10000018,Leicestershire,228,0
10/09/2020,utla,E06000007,Warrington,25,0
13/01/2021,utla,E06000051,Shropshire,243,6
09/09/2020,utla,E06000007,Warrington,23,0
12/01/2021,utla,E06000051,Shropshire,170,4
11/01/2021,utla,E06000051,Shropshire,184,4
08/09/2020,utla,E06000007,Warrington,18,0
03/10/2020,utla,E10000018,Leicestershire,111,0
07/09/2020,utla,E06000007,Warrington,16,0
