AcadYear,StuNo,Active,Activedate,CreatedDate
16,1601529,Y,06/09/2016,06/09/2016
16,1601534,Y,06/09/2016,05/09/2016
16,1601548,Y,06/09/2016,05/09/2016
16,1601558,Y,06/09/2016,05/09/2016
16,1601561,Y,06/09/2016,05/09/2016
16,1601562,Y,06/09/2016,05/09/2016
16,1601586,Y,06/09/2016,05/09/2016
16,1601625,Y,06/09/2016,05/09/2016
16,1601705,Y,06/09/2016,05/09/2016
16,1601723,Y,06/09/2016,05/09/2016
16,1601790,Y,06/09/2016,05/09/2016
16,1601832,Y,06/09/2016,05/09/2016
16,1601856,Y,06/09/2016,05/09/2016
16,1601864,Y,06/09/2016,05/09/2016
16,1601874,Y,06/09/2016,05/09/2016
16,1601892,Y,06/09/2016,06/09/2016
16,1601899,Y,06/09/2016,05/09/2016
16,1601950,Y,06/09/2016,05/09/2016
16,1601955,Y,06/09/2016,05/09/2016
16,1601965,Y,06/09/2016,02/09/2016
16,1601967,Y,06/09/2016,05/09/2016
16,1601968,Y,06/09/2016,05/09/2016
16,1601990,Y,06/09/2016,05/09/2016
16,1601994,Y,06/09/2016,05/09/2016
16,1602007,Y,06/09/2016,05/09/2016
16,1602008,Y,06/09/2016,05/09/2016
16,1602029,Y,06/09/2016,05/09/2016
16,1602070,Y,06/09/2016,05/09/2016
16,1602072,Y,06/09/2016,05/09/2016
16,1602170,Y,06/09/2016,05/09/2016
16,1602214,Y,06/09/2016,05/09/2016
16,1602243,Y,06/09/2016,05/09/2016
16,1602276,Y,06/09/2016,05/09/2016
16,1602281,Y,06/09/2016,05/09/2016
16,1602305,Y,06/09/2016,05/09/2016
16,1602374,Y,06/09/2016,05/09/2016
16,1602413,Y,06/09/2016,05/09/2016
16,1602416,Y,06/09/2016,05/09/2016
16,1602455,Y,06/09/2016,05/09/2016
16,1602462,Y,06/09/2016,05/09/2016
16,1602546,Y,06/09/2016,05/09/2016
16,1602557,Y,06/09/2016,05/09/2016
16,1602562,Y,06/09/2016,05/09/2016
16,1602566,Y,06/09/2016,05/09/2016
16,1602567,Y,06/09/2016,05/09/2016
16,1602623,Y,06/09/2016,05/09/2016
16,1602648,Y,06/09/2016,05/09/2016
16,1602689,Y,06/09/2016,05/09/2016
16,1602740,Y,06/09/2016,05/09/2016
16,1602742,Y,06/09/2016,05/09/2016
16,1602752,Y,06/09/2016,05/09/2016
16,1602788,Y,06/09/2016,05/09/2016
16,1602826,Y,06/09/2016,05/09/2016
16,1602845,Y,06/09/2016,05/09/2016
16,1602848,Y,06/09/2016,05/09/2016
16,1602899,Y,06/09/2016,05/09/2016
16,1602932,Y,06/09/2016,05/09/2016
16,1602942,Y,06/09/2016,05/09/2016
16,1602988,Y,06/09/2016,05/09/2016
16,1603045,Y,06/09/2016,06/09/2016
16,1603071,Y,06/09/2016,05/09/2016
16,1603073,Y,06/09/2016,05/09/2016
16,1603084,Y,06/09/2016,05/09/2016
16,1603138,Y,06/09/2016,05/09/2016
16,1603168,Y,06/09/2016,05/09/2016
16,1603170,Y,06/09/2016,05/09/2016
16,1603199,Y,06/09/2016,05/09/2016
16,1603253,Y,06/09/2016,05/09/2016
16,1603266,Y,06/09/2016,05/09/2016
16,1603339,Y,06/09/2016,05/09/2016
16,1603352,Y,06/09/2016,05/09/2016
16,1603403,Y,06/09/2016,05/09/2016
16,1603459,Y,06/09/2016,05/09/2016
16,1603466,Y,06/09/2016,05/09/2016
16,1603523,Y,06/09/2016,05/09/2016
16,1603552,Y,06/09/2016,05/09/2016
16,1603587,Y,06/09/2016,05/09/2016
16,1603623,Y,06/09/2016,05/09/2016
16,1603756,Y,06/09/2016,06/09/2016
16,1603785,Y,06/09/2016,05/09/2016
16,1603810,Y,06/09/2016,05/09/2016
16,1603821,Y,06/09/2016,05/09/2016
16,1603846,Y,06/09/2016,05/09/2016
16,1603847,Y,06/09/2016,05/09/2016
16,1603872,Y,06/09/2016,05/09/2016
16,1603880,Y,06/09/2016,05/09/2016
16,1603888,Y,06/09/2016,05/09/2016
16,1603891,Y,06/09/2016,05/09/2016
16,1603911,Y,06/09/2016,05/09/2016
16,1603963,Y,06/09/2016,05/09/2016
16,1604001,Y,06/09/2016,05/09/2016
16,1604041,Y,06/09/2016,05/09/2016
16,1604042,Y,06/09/2016,05/09/2016
16,1604093,Y,06/09/2016,05/09/2016
16,1604117,Y,06/09/2016,05/09/2016
16,1604249,Y,06/09/2016,05/09/2016
16,1604265,Y,06/09/2016,05/09/2016
16,1604319,Y,06/09/2016,05/09/2016
16,1604327,Y,06/09/2016,05/09/2016
16,1604377,Y,06/09/2016,05/09/2016
16,1604404,Y,06/09/2016,22/08/2016
16,1604408,Y,06/09/2016,05/09/2016
16,1604472,Y,06/09/2016,05/09/2016
16,1604514,Y,06/09/2016,05/09/2016
16,1604572,Y,06/09/2016,05/09/2016
16,1604626,Y,06/09/2016,05/09/2016
16,1604630,Y,06/09/2016,05/09/2016
16,1604654,Y,06/09/2016,05/09/2016
16,1604667,Y,06/09/2016,05/09/2016
16,1604774,Y,06/09/2016,05/09/2016
16,1604899,Y,06/09/2016,05/09/2016
16,1604900,Y,06/09/2016,06/09/2016
16,1605004,Y,06/09/2016,05/09/2016
16,1605113,Y,06/09/2016,05/09/2016
16,1605161,Y,06/09/2016,05/09/2016
16,1605214,Y,06/09/2016,05/09/2016
16,1605219,Y,06/09/2016,05/09/2016
16,1605230,Y,06/09/2016,05/09/2016
16,1605377,Y,06/09/2016,05/09/2016
16,1605433,Y,06/09/2016,05/09/2016
16,1605523,Y,06/09/2016,05/09/2016
16,1605525,Y,06/09/2016,05/09/2016
16,1605535,Y,06/09/2016,05/09/2016
16,1605593,Y,06/09/2016,05/09/2016
16,1605593,Y,06/09/2016,05/09/2016
16,1605736,Y,06/09/2016,05/09/2016
16,1605791,Y,06/09/2016,05/09/2016
16,1605821,Y,06/09/2016,05/09/2016
16,1605846,Y,06/09/2016,05/09/2016
16,1605855,Y,06/09/2016,05/09/2016
16,1605956,Y,06/09/2016,05/09/2016
16,1605974,Y,06/09/2016,05/09/2016
16,1606026,Y,06/09/2016,05/09/2016
16,1606046,Y,06/09/2016,05/09/2016
16,1606052,Y,06/09/2016,05/09/2016
16,1606081,Y,06/09/2016,05/09/2016
16,1606270,Y,06/09/2016,05/09/2016
16,1606326,Y,06/09/2016,05/09/2016
16,1606337,Y,06/09/2016,05/09/2016
16,1606343,Y,06/09/2016,05/09/2016
16,1606419,Y,06/09/2016,05/09/2016
16,1606427,Y,06/09/2016,05/09/2016
16,1606434,Y,06/09/2016,05/09/2016
16,1606541,Y,06/09/2016,05/09/2016
16,1606562,Y,06/09/2016,05/09/2016
16,1606633,Y,06/09/2016,02/09/2016
16,1606657,Y,06/09/2016,05/09/2016
16,1606671,Y,06/09/2016,05/09/2016
16,1606704,Y,06/09/2016,05/09/2016
16,1606719,Y,06/09/2016,05/09/2016
16,1606721,Y,06/09/2016,05/09/2016
16,1606723,Y,06/09/2016,05/09/2016
16,1606727,Y,06/09/2016,05/09/2016
16,1606757,Y,06/09/2016,05/09/2016
16,1606847,Y,06/09/2016,02/09/2016
16,1606863,Y,06/09/2016,02/09/2016
16,1606868,Y,06/09/2016,02/09/2016
16,1606884,Y,06/09/2016,05/09/2016
16,1606946,Y,06/09/2016,05/09/2016
16,1606981,Y,06/09/2016,05/09/2016
16,1607098,Y,06/09/2016,05/09/2016
16,1607273,Y,06/09/2016,05/09/2016
16,1607346,Y,06/09/2016,02/09/2016
16,1607361,Y,06/09/2016,05/09/2016
16,1607548,Y,06/09/2016,05/09/2016
16,1607560,Y,06/09/2016,05/09/2016
16,1607587,Y,06/09/2016,05/09/2016
16,1607617,Y,06/09/2016,02/09/2016
16,1607620,Y,06/09/2016,02/09/2016
16,1607624,Y,06/09/2016,02/09/2016
16,1607634,Y,06/09/2016,02/09/2016
16,1607653,Y,06/09/2016,05/09/2016
16,1607669,Y,06/09/2016,05/09/2016
16,1607732,Y,06/09/2016,05/09/2016
16,1607733,Y,06/09/2016,05/09/2016
16,1607748,Y,06/09/2016,05/09/2016
16,1607766,Y,06/09/2016,05/09/2016
16,1607797,Y,06/09/2016,05/09/2016
16,1607821,Y,06/09/2016,05/09/2016
16,1607844,Y,06/09/2016,05/09/2016
16,1607873,Y,06/09/2016,05/09/2016
16,1607912,Y,06/09/2016,05/09/2016
16,700098,Y,07/09/2016,05/09/2016
16,906471,Y,07/09/2016,05/09/2016
16,1005813,Y,07/09/2016,05/09/2016
16,1105871,Y,07/09/2016,05/09/2016
16,1304724,Y,07/09/2016,06/09/2016
16,1500168,Y,07/09/2016,05/09/2016
16,1501018,Y,07/09/2016,05/09/2016
16,1501385,Y,07/09/2016,05/09/2016
16,1501558,Y,07/09/2016,05/09/2016
16,1501809,Y,07/09/2016,05/09/2016
16,1501969,Y,07/09/2016,02/09/2016
16,1502022,Y,07/09/2016,06/09/2016
16,1502497,Y,07/09/2016,05/09/2016
16,1502716,Y,07/09/2016,05/09/2016
16,1502798,Y,07/09/2016,05/09/2016
16,1502836,Y,07/09/2016,05/09/2016
16,1504188,Y,07/09/2016,06/09/2016
16,1504664,Y,07/09/2016,05/09/2016
16,1504749,Y,07/09/2016,05/09/2016
16,1505102,Y,07/09/2016,05/09/2016
16,1505211,Y,07/09/2016,05/09/2016
16,1505349,Y,07/09/2016,06/09/2016
16,1505427,Y,07/09/2016,05/09/2016
16,1505443,Y,07/09/2016,05/09/2016
16,1505469,Y,07/09/2016,05/09/2016
16,1505876,Y,07/09/2016,05/09/2016
16,1506092,Y,07/09/2016,05/09/2016
