stu_code,spr_code,stu_gend,Disability,scj_crsc,scj_moac,stu_hqlc,Age,Class,spr_levc,Tariff,Yr1Mark,FinalMark,MitClaims,StuSup
1405919,1405919/1,F,No,BSCSPEX,FT,Q80,21,2,L6,320,53.63,61.83,0,33
1405923,1405923/1,F,No,BASPDEVCO,FT,Q80,21,2,L6,360,53.38,59.28,0,0
1405924,1405924/2,M,No,BSCSPSCO,FT,Q80,22,1,L6,420,52,63.5,0,0
1405933,1405933/1,F,No,BAAAH,FT,P50,20,4,L6,260,65,63.43,0,1
1405935,1405935/1,F,No,BSCSPEX,FT,P50,24,9,L6,030,57.38,71.08,0,0
1405952,1405952/2,M,No,BASPBUSMAN,FT,P50,21,3,L6,200,46.63,52.43,0,1
1405956,1405956/1,M,No,BAPESEC,FT,M71,21,2,L6,360,70.5,78.1,0,0
1405965,1405965/1,M,No,BASPBUSMAN,FT,P41,28,6,L6,240,46.5,45.43,0,6
1405967,1405967/1,M,No,BAPESC,FT,P50,22,9,L6,220,49.25,51.3,0,2
1405976,1405976/1,F,Yes,BAAAH,FT,P50,22,6,L6,227,59.5,57.63,0,0
1405981,1405981/1,F,No,BSCSPEX,FT,P50,22,9,L6,240,72,69.43,0,0
1405986,1405986/1,M,No,BAPESC,FT,P50,22,9,L6,240,63.75,62.5,0,2
1406007,1406007/1,F,Yes,BSCSPTH,FT,HUK,22,1,L6,280,63.25,62.93,0,4
1406022,1406022/1,M,No,BABM,FT,P41,27,6,L6,360,63.75,63.85,0,0
1406036,1406036/1,F,No,BABM,FT,P41,23,7,L6,200,64.38,65.88,0,1
1406040,1406040/1,M,No,BAAAH,FT,HUK,23,6,L6,100,55.63,62.43,1,12
1406069,1406069/1,F,No,BAAAH,FT,P50,21,2,L6,330,69.5,67.93,0,0
1406082,1406082/1,M,No,BSCSEPS,FT,P50,22,3,L6,240,57.88,58.93,0,0
1406114,1406114/1,M,Yes,BAAAH,FT,P50,21,7,L6,100,55,56.53,0,3
1406162,1406162/1,F,No,BACOMMU,FT,Q80,21,2,L6,320,58.88,67.6,0,0
1406176,1406176/1,M,No,BSCPSYCH,FT,P50,21,7,L6,160,49.88,50.1,0,5
1406185,1406185/1,F,Yes,BAAAH,FT,P50,21,6,L6,180,51.38,51.98,0,20
1406191,1406191/1,M,No,BAPESC,FT,P41,25,2,L6,280,57,64.98,0,0
1406193,1406193/1,M,No,BABM,FT,P41,21,6,L6,280,58.75,62.83,0,1
1406226,1406226/1,M,Yes,BAPESC,FT,P50,21,7,L6,140,48.88,54.4,0,28
1406246,1406246/1,M,No,BSCSPTH,FT,P41,22,7,L6,280,67.5,62.58,0,0
1406248,1406248/1,F,No,BAAAH,FT,P50,21,2,L6,380,57,58.75,0,1
1406258,1406258/1,F,No,BAAAH,FT,P50,22,7,L6,320,62.5,65.23,0,0
1406263,1406263/1,M,No,BSCSPEX,FT,P50,21,9,L6,260,54.38,55.73,0,0
1406266,1406266/1,F,No,BAAAH,FT,HUK,22,4,L6,370,57.63,63.05,0,0
1406287,1406287/1,F,Yes,BAAAH,FT,HUK,22,4,L6,290,64.63,64.03,0,58
1406298,1406298/1,M,No,BAAAH,FT,Q80,21,9,L6,320,58.75,59.53,0,0
1406302,1406302/1,M,Yes,BABM,FT,Q80,23,9,L6,240,49.25,54.28,0,94
1406305,1406305/1,F,No,BAAAH,FT,P41,22,2,L6,360,57.38,62.85,0,2
1406324,1406324/1,M,No,BAAAH,FT,HUK,22,6,L6,380,62.75,65.95,0,2
1406329,1406329/1,F,No,BABM,FT,C20,66,9,L6,,56.75,61.55,0,0
1406348,1406348/1,F,No,BAAAH,FT,MUK,26,2,L6,,57.88,64.18,0,1
1406354,1406354/1,F,No,BAAAH,FT,P50,21,1,L6,250,66.38,68.18,2,17
1406382,1406382/1,F,No,BAAAH,FT,P50,26,9,L6,220,63.38,64.9,0,3
1406403,1406403/1,M,No,BAAAH,FT,P50,22,9,L6,260,62.63,67.5,0,0
1406409,1406409/1,M,No,BASPBUSMAN,FT,P50,21,9,L6,160,54.88,53.23,0,1
1406436,1406436/1,F,No,BAAAH,FT,HUK,22,4,L6,360,59,61.15,0,1
1406478,1406478/1,M,Yes,BAAAH,FT,MUK,23,9,L6,480,65.5,69.38,1,30
1406492,1406492/1,M,No,BACOMMU,FT,HUK,22,6,L6,240,55.88,59.08,0,0
1406575,1406575/1,F,No,BABM,FT,P41,22,4,L6,260,58.38,52.33,0,2
1406578,1406578/1,F,Yes,BACOMMU,FT,HUK,23,6,L6,,64.13,72.45,1,4
1406616,1406616/1,M,No,BSCFCPERF,FT,Q80,20,1,L6,280,43.5,46.9,0,0
1406626,1406626/1,M,No,BAAAH,FT,Q80,26,7,L6,,61.75,64.78,1,2
1406651,1406651/1,F,No,BABM,FT,X05,21,9,L6,,66.63,69.85,0,20
1406775,1406775/1,F,No,BAAAH,FT,MUK,42,3,L6,,61,65.4,0,1
1406785,1406785/1,F,No,BAAAH,FT,P41,22,6,L6,280,69,63.38,0,16
1406823,1406823/1,F,No,BAAAH,FT,Q80,21,6,L6,380,56.5,63.43,0,1
1406883,1406883/1,M,No,BASPDEVCO,FT,P41,22,3,L6,310,48.5,51.98,0,3
1406890,1406890/1,M,Yes,BACOMMU,FT,Q80,22,9,L6,320,55,57.43,0,13
1406895,1406895/1,F,No,BAAAH,FT,Q80,23,6,L6,220,60.13,59.85,0,2
1406918,1406918/1,F,Yes,BAAAH,FT,P50,24,3,L6,,,61.98,2,5
1406919,1406919/1,M,No,BASPDEVCO,FT,P41,23,1,L6,360,59.63,63.7,0,0
1406936,1406936/1,M,No,BAPESC,FT,HUK,21,2,L6,220,56.88,53.45,0,2
1406943,1406943/1,M,No,BAPESC,FT,P41,22,1,L6,360,58.75,58.75,0,1
1406957,1406957/1,F,No,BSCSPEX,FT,X06,21,9,L6,100,50.5,58.93,0,1
1406967,1406967/1,M,No,BAAAH,FT,P50,24,2,L6,080,55.88,66.75,0,7
1406998,1406998/1,F,No,BAAAH,FT,Q80,21,3,L6,360,59.25,57,1,0
1407039,1407039/1,M,No,BSCSPEX,FT,M80,23,4,L6,140,48.25,57.35,0,2
1407042,1407042/1,F,No,BAAAH,FT,X04,43,3,L6,,65.38,69,0,0
1407063,1407063/2,M,No,BABM,FT,X04,23,,L6,,64.63,61.5,0,22
1407073,1407073/1,F,No,BAAAH,FT,H71,44,,L6,,,59.45,2,3
1407081,1407081/1,F,No,BASPBUSMAN,FT,HUK,21,9,L6,,48.5,51.43,2,48
1407090,1407090/1,F,No,BAAAH,FT,Q80,36,1,L6,,61.63,64.25,0,1
1407129,1407129/1,M,Yes,BASPDEVCO,FT,P50,23,2,L6,310,53.63,54.75,0,11
1407171,1407171/1,M,No,BSCPSYCH,FT,J20,22,9,L6,,64.38,55.58,0,8
1407284,1407284/1,F,No,BAAAH,FT,P50,21,3,L6,180,58.25,62.3,1,1
1407285,1407285/1,M,Yes,BASPBUSMAN,FT,P50,22,2,L6,240,62.13,65.2,0,1
1407294,1407294/1,M,Yes,BAAAH,FT,P41,22,3,L6,360,57.25,64.7,0,9
1407296,1407296/1,F,No,BAPESC,FT,Q80,22,2,L6,420,48.63,50.08,0,5
1407297,1407297/1,F,No,BSCPSYCH,FT,P42,21,2,L6,230,67.13,71.15,0,1
1407303,1407303/1,F,No,BSCPSYCH,FT,P42,51,9,L6,,71.38,62.3,2,10
1407306,1407306/1,F,No,BAAAH,FT,Q80,21,2,L6,320,68.25,63.83,0,2
1407340,1407340/1,M,No,BAAAH,FT,X05,60,9,L6,,54.75,51.43,0,1
1407386,1407386/1,M,No,BAPESC,FT,M90,22,4,L6,420,54,68.63,0,12
1407387,1407387/1,F,No,BABM,FT,P42,27,9,L6,240,68.13,75.03,0,0
1407395,1407395/1,F,No,BABM,FT,P41,23,3,L6,200,66.5,64.8,0,0
1407408,1407408/1,M,No,BAPESC,FT,P41,28,9,L6,120,58,60.73,1,10
1407412,1407412/1,M,No,BAAAH,FT,X06,24,9,L6,,51.5,49.4,0,20
1407542,1407542/1,F,No,BSCMAML,FT,,47,,L6,,63.11,71.73,1,4
1407584,1407584/1,M,No,BSCPSYCH,FT,P50,22,1,L6,270,71.13,69.8,0,0
1407588,1407588/1,M,No,BSCSPEX,FT,X06,21,1,L6,230,49.75,51.75,0,2
1407590,1407590/1,M,No,BAAAH,FT,P41,22,6,L6,160,58,58.8,0,2
1407591,1407591/1,F,Yes,BSCMAML,FT,X06,20,6,L6,320,71.46,73.63,0,12
1407592,1407592/1,M,No,BASPBUSMAN,FT,Q80,21,3,L6,250,50.13,47.35,1,0
1407593,1407593/1,F,No,BSCSPEX,FT,X06,21,1,L6,032,70.38,65.5,0,1
1407594,1407594/1,F,No,BAAAH,FT,X06,21,1,L6,280,62,65.23,0,0
1407595,1407595/1,M,No,BSCSPEX,FT,P50,21,2,L6,200,56.38,57.98,0,0
